Confidence,Header,Units
4,Viscoelasticity (Pa),Pa
4,current (A),A
4,log M' (KPa),KPa
4,J (A/m^2),A/m^2
4,Breakdown Voltage (kV/m),kV/m
4,G' (Mpa),Mpa
4,Temperature(Â°C),Â°C
4,Displacement (mm),mm
4,Angular Frequency [rad/s],rad/s
4,Temperature (C),C
4,w(rad/s) (PVAc-23%),rad/s) (PVAc-23%
4,Energy Density (J/m^3),J/m^3
4,AC Peak Breakdown Field (kV/mm),kV/mm
4,Filler content (wt %),wt %
4,shear stress (Pa),Pa
4,transverse electrical conductivity(S/m),S/m
4,Storage modulus (GPa),GPa
4,OHC strength(MPa),MPa
4, PVAc 12% w (rad/s)  (red circles),rad/s)  (red circles
4,comparative ac conductivity at 160 C (S/cm),S/cm
4,Electric Conductivity (S/cm),S/cm
4,wnorm(rad/s),rad/s
4,viscosity (Pa-s),Pa-s
4,thickness (cm),cm
4,strength (MV/cm),MV/cm
4,q (n/m),n/m
4,U (V),V
4,Shear storage modulus G (GPa),GPa
4,complex viscosity (Pa s),Pa s
4,Intensity (A.U.),A.U.
4,stress via extension slope(MPa),MPa
4,"E"" (MPa)",MPa
4,tan del (%),%
4,Stress (kPa),kPa
4,Time (min),min
4,Cp (J/gK),J/gK
4,ang. frequency (rad/s),rad/s
4,E (kV/cm),kV/cm
4,Complex viscocity (Pa s),Pa s
4,Intensity (C.P.S),C.P.S
4,breakdown strength (MV/cm),MV/cm
4,sigma (S/cm),S/cm
4,"G"" (Mpa)",Mpa
4,loss modulus (Pa),Pa
4,Complex Modulus (Pa),Pa
4,unidirectional modulus(GPa),GPa
4,short beam strength(MPa),MPa
4,Electric Field (kV/mm),kV/mm
4,Frequency (Hz),Hz
4,log t/a (1/s),1/s
4,lint (nm),nm
4,1/T (K^-1),T (K^-1)
4,Electric conductivity (S/cm),S/cm
4,Loss Modulus (Pa),Pa
4,Complex Viscosity (Pa-s),Pa-s
4,Angular frequency (rad/s),rad/s
4,1000/Tf (K^-1),K^-1
4,1000/T  (K^-1),K^-1
4,Probability of Failure (%),%
4,Real Impedance (Ohm),Ohm
4,omega (rad/s),rad/s
4,freq (rad/s),rad/s
4,storage modulus (Mpa),Mpa
4,Thermal conductivity (W/mK),W/mK
4,Electric field (MV/m),MV/m
4,Nanoparticle size (nm),nm
4,Water Content (wt%),wt%
4,Fequency (Hertz),Hertz
4,conductivity (s/m),s/m
4,Shear stress (Pa),Pa
4,quasi-isotropic modulus(GPa),GPa
4,Concentration of BaTiO3 (vol%),vol%
4,Heat Flow (mW),mW
4,AC Breakdown Voltage (kV/mm),kV/mm
4,Time (s),s
4,temperature (Celsius),Celsius
4,Probability of failure (%),%
4,Log storage modulus (Pa),Pa
4,Strain [%],Strain
4,Storage Modulus (MPa),MPa
4,Temperature (Â°C),Â°C
4,E' (Mpa),Mpa
4,Complex viscosity (Pa.s),Pa.s
4,crack extension (mm),mm
4,"e"" (PVAc-23% red squares)",PVAc-23% red squares
4,Frequency(rad/s),rad/s
4,Tan del (%),%
4,Complex viscosity (Pa*s),Pa*s
4,conductivity (S/cm),S/cm
4,"e"" (grey circles)",grey circles
4,Storage modulus (MPa),MPa
4,Frequecy (Hz),Hz
4,Glass transition temperature(C),C
4,Water content (wt%),wt%
4,Water Uptake (%),%
4,Shear rate (1/s),1/s
4,time (s),s
4,"E"" (Pa)",Pa
4,Breakdown Voltage (kV/mm),kV/mm
4,e' (blue squares),blue squares
4,Binding Energy (eV),eV
4,Elastic Modulus (GPa),GPa
4,Viscoelasticity(Pa),Pa
4,Modulus (GPa),GPa
4,Reversible specific heat capacity (J/(gK)),J/(gK
4,extensional viscosity (Pa.s),Pa.s
4,"e"" (neat PVAc grey circles)",neat PVAc grey circles
4,Storage Modulus [Pa],Pa
4,"Oscillation frequency, Ï‰ (Hz)",Ï‰ (Hz)
4,Storage modulus (Pa),Pa
4,E (Mpa),Mpa
4,Conductivity (S/cm),S/cm
4,Heat Flow (W/g),W/g
4,Normalized mass remaining (a.u.),a.u.
4,Absorbance (a.u.),a.u.
4,Storage Modulus E' (GPa),GPa
4,e' (neat PVAc),neat PVAc
4,Energy Density (J/cm3),J/cm3
4,deltaH(J/g),J/g
4,Engineering stress (MPa),MPa
4,Loss Modulus [Pa],Pa
4,w (rad/s),rad/s
4,Log[frequency (Hz)],Hz
4,Failure Probability [%],%
4,Weight (%),%
4,Log E' (Pa),Pa
4,dynamic shear viscosity (Pa-s),Pa-s
4,fmax (Hz),Hz
4,Frequency (kHz),kHz
4,"Storage Modulus, G' (Pa)",G' (Pa)
4,Resisitivity (ohms-cm),ohms-cm
4,E' (MPa),MPa
4,Stress(MPa),MPa
4,shear modulus (KPa),KPa
4,stress (MPa),MPa
4,complex melt viscosity(Pa s),Pa s
4,Storage modulus (kPa),kPa
4,log time (s),s
4,Loss modulus(MPa),MPa
4,Conductivity (s/m),s/m
4,storage modulus (MPa),MPa
4,"PVAc-12% e"" (red circles)",red circles
4,Complex Viscosity (Pa-sec),Pa-sec
4,Loss modulus (Pa),Pa
4,silica content (wt %),wt %
4,Current (A/cm^2),A/cm^2
4,frequency (rad/sec),rad/sec
4,Loss Modulus (MPa),MPa
4,Concentration of Silica (wt%),wt%
4,shear storage modulus (Pa),Pa
4,AC Breakdown Strength (kV/mm),kV/mm
4,Strain (mm/mm),Strain
4,Electric field (kV/cm),kV/cm
4,Tensile Stress (Mpa),Mpa
4,position in sample (mm),mm
4,Angular Velocity (rad/s),rad/s
4,Temperature (C) ,C
4,time (min),min
4,Probability (Percent),Percent
4,tensile strength(MPa),MPa
4,Breakdown Voltage Peak (kV/mm),kV/mm
4,Breakdown voltage (kV/mm),kV/mm
4,w(rad/s),rad/s
4,Loss modulus (GPa),GPa
4,WAT (Hz),Hz
4,Breakdown Strength (MV/m),MV/m
4,"e"" (red circles)",red circles
4,e' (PVAc-23% red squares),PVAc-23% red squares
4,temperature (C),C
4,Electrical conductivity (S/m),S/m
4,"Storage Modulus, E (Mpa)",Mpa
4,Electric Field (MV/m),MV/m
4,1000/T (K^-1),T (K^-1)
4,Frequency (rad/s),rad/s
4,T (K),K
4,Current density (A/cm^2),A/cm^2
4,Log-storage modulus (Pa),Pa
4,quasi-isotropic modulus modulus(GPa),GPa
4,log[10]conductivity (S/cm),S/cm
4,Failure Strain (%),Strain
4,"e"" (Exp)",Exp
4,Molecular weight (kg/mol),kg/mol
4,Reduced Modulus (GPa),GPa
4,Log E' (Mpa),Mpa
4,Storage Modulus(MPa),MPa
4,E' (Pa),Pa
4,DC Breakdown Voltage (kV/mm),kV/mm
4,strain (mm/mm),strain
4,E (kV/mm),kV/mm
4,energy storage density (J/cm^3),J/cm^3
4,Conductivity (S/m),S/m
4,Frequency(Hz),Hz
4,"e""(Exp)",Exp
4,stress (kPa),kPa
4,Storage Modulus (Mpa),Mpa
4,AC Dielectric Strength (kV/mm),kV/mm
4,Wavelength (nm),nm
4,T (C),C
4,Time (hours),hours
4,Angular velocity (rad/s),rad/s
4,Static Stress (MPa),MPa
4,Graft Density (ch/nm^2),ch/nm^2
4,conductivity (S/m),S/m
4,Frequency (GHz),GHz
4,Storage modulus  (Pa),Pa
4,Storage Modulus (GPa),GPa
4,PVAc-32% w (rad/s)  (red circles),rad/s)  (red circles
4,AC conductivity (S/cm),S/cm
4,True Stress (MPa),MPa
4,Frequency (rad/sec),rad/sec
4,Storage Modulus (Pa),Pa
4,Discharged energy density (J/cm3),J/cm3
4,Tensile Strength (MPa),MPa
4,Loss Modulus (Mpa),Mpa
4,AC Conductivity (S/cm),S/cm
4,Tube Diameter (nm),nm
4,Electric field (kV/mm),kV/mm
4,I(q)(cm^-1),cm
4,Static Strain (%),Strain
4,"Loss Modulus, G'' (Pa)",G'' (Pa)
4,Stress (MPa),MPa
4,Log (AC Conductivity (S.m-1)),AC Conductivity (S.m-1
4,Freq (rad/sec),rad/sec
4,Stress (Mpa),Mpa
4,w(rad/s) (neat PVAc),rad/s) (neat PVAc
4,"e"" (blue squares)",blue squares
4,storage modulus (Pa),Pa
4,Frequency (Hertz),Hertz
4,Tensile stress (MPa),MPa
4,Free Space Length (nm),nm
4,electric field (kV/mm),kV/mm
4,Eta (Pa*s),Pa*s
4,CRR length scale (nm),nm
4,Temperature (K),K
4,Temperature (celsius),celsius
4,Yield Stress (MPa),MPa
4,"e"" (PVAc-32% red squares)",PVAc-32% red squares
4,Frequency(kHz),kHz
4,CNF content(phr),phr
4,Shear Storage Modulus (Pa),Pa
4,Resistivity (ohms-cm),ohms-cm
4,"E""  (Pa)",Pa
4,"e"" (Ads NPs)",Ads NPs
4,Real part of Conductivity (S/cm),S/cm
