file,xPath,xRaw_header,yRaw_header,xName,stdXName,xUnit,yName,stdYName,yUnit
E108_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E108_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E108_S1_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E108_S1_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,Frequency (Hz),Electric conductivity (S/cm),Frequency,Frequency,Hz,Electric conductivity,Conductivity,S/cm
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Frequency (Hz),Storage modulus (Pa),Frequency,Frequency,Hz,Storage modulus,Storage Modulus,Pa
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Frequency (Hz),Loss modulus (Pa),Frequency,Frequency,Hz,Loss modulus,Loss Modulus,Pa
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Frequency (Hz),Tan delta,Frequency,Frequency,Hz,Tan delta,Tan Delta,
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,Frequency (Hz),Conductivity (S/cm),Frequency,Frequency,Hz,Electric conductivity,Conductivity,S/cm
E108_S4_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Frequency (Hz),Storage modulus (Pa),Frequency,Frequency,Hz,Storage modulus,Storage Modulus,Pa
E108_S4_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Frequency (Hz),Loss modulus (Pa),Frequency,Frequency,Hz,Loss modulus,Loss Modulus,Pa
E108_S4_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Frequency (Hz),Tan delta,Frequency,Frequency,Hz,Tan delta,Tan Delta,
E108_S4_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E108_S4_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E108_S4_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
E108_S4_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,Frequency (Hz),Conductivity (S/cm),Frequency,Frequency,Hz,Electric conductivity,Conductivity,S/cm
E108_S5_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Frequency (Hz),Storage modulus,Frequency,Frequency,Hz,Storage modulus,Storage Modulus,Pa
E108_S5_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Frequency (Hz),Loss modulus,Frequency,Frequency,Hz,Loss modulus,Loss Modulus,Pa
E108_S5_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Frequency (Hz),Tan delta,Frequency,Frequency,Hz,Tan delta,Tan Delta,
E108_S6_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E108_S6_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E108_S7_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E108_S7_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E108_S8_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E108_S8_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E108_S9_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E108_S9_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E115_S10_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Frequency (Hz),Real permittivity,Frequency,Frequency,Hz,Real permittivity,Dielectric Real Permittivity,
E115_S10_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Frequency (Hz),Imaginary permittivity,Frequency,Frequency,Hz,Imaginary permittivity,Dielectric Loss Permittivity,
E115_S10_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Frequency (Hz),Tan delta,Frequency,,Hz,Tan delta,,
