file,xPath,occurrence,xRaw_header,xName,stdXName,xUnit,stdXUnit,xUnitType,yRaw_header,yName,stdYName,yUnit,stdYUnit,yUnitType
E108_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,120,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Real permittivity,Real permittivity,Dielectric Real Permittivity,,,Dielectric Real Permittivity
E108_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,124,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Imaginary permittivity,Imaginary permittivity,Dielectric Loss Permittivity,,,Dielectric Loss Permittivity
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,123,Frequency (Hz),Frequency,,Hz,,,Tan delta,Tan delta,,,,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,1,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Electric conductivity (S/cm),Electric conductivity,Conductivity,S/cm,,Conductivity
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,11,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Storage modulus (Pa),Storage modulus,Storage Modulus,Pa,,Storage Modulus
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,11,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Loss modulus (Pa),Loss modulus,Loss Modulus,Pa,,Loss Modulus
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,3,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Tan delta,Tan delta,Tan Delta,,,Tan Delta
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,2,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Conductivity (S/cm),Electric conductivity,Conductivity,S/cm,,Conductivity
E108_S5_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,1,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Storage modulus,Storage modulus,Storage Modulus,Pa,,Storage Modulus
E108_S5_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,1,Frequency (Hz),Frequency,Frequency,Hz,,Frequency,Loss modulus,Loss modulus,Loss Modulus,Pa,,Loss Modulus
