file,xPath,yRaw_header,yName,stdYName
E108_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,Real permittivity,Dielectric Real Permittivity
E108_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,Imaginary permittivity,Dielectric Loss Permittivity
E108_S1_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,Real permittivity,Dielectric Real Permittivity
E108_S1_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,Imaginary permittivity,Dielectric Loss Permittivity
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,Real permittivity,Dielectric Real Permittivity
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,Imaginary permittivity,Dielectric Loss Permittivity
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,Tan delta,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,Electric conductivity (S/cm),Electric conductivity,Conductivity
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Storage modulus (Pa),Storage modulus,Storage Modulus
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Loss modulus (Pa),Loss modulus,Loss Modulus
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Tan delta,Tan delta,Tan Delta
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,Real permittivity,Dielectric Real Permittivity
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,Imaginary permittivity,Dielectric Loss Permittivity
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,Tan delta,
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/cm),Electric conductivity,Conductivity
E108_S4_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Storage modulus (Pa),Storage modulus,Storage Modulus
E108_S4_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Loss modulus (Pa),Loss modulus,Loss Modulus
E108_S4_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Tan delta,Tan delta,Tan Delta
E108_S4_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,Real permittivity,Dielectric Real Permittivity
