file,xPath,yRaw_header,yUnit
E108_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E108_S10_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E108_S1_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E108_S1_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E108_S2_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,Electric conductivity (S/cm),S/cm
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Storage modulus (Pa),Pa
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Loss modulus (Pa),Pa
E108_S3_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Tan delta,
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E108_S3_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/cm),S/cm
E108_S4_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Storage modulus (Pa),Pa
E108_S4_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Loss modulus (Pa),Pa
E108_S4_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Tan delta,
E108_S4_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E108_S4_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E108_S4_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E108_S4_Huang_2016.xml,PROPERTIES/Electrical/ElectricConductivity/data,Conductivity (S/cm),S/cm
E108_S5_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Storage modulus,Pa
E108_S5_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Loss modulus,Pa
E108_S5_Huang_2016.xml,PROPERTIES/Viscoelastic/DynamicProperties/DynamicPropertyProfile/data,Tan delta,
E108_S6_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E108_S6_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E108_S7_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E108_S7_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E108_S8_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E108_S8_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E108_S9_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E108_S9_Huang_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S10_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E115_S10_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S10_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E115_S2_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E115_S2_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S2_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
E115_S3_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Real_Permittivity/data,Real permittivity,
E115_S3_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Permittivity/data,Imaginary permittivity,
E115_S3_Bell_2016.xml,PROPERTIES/Electrical/AC_DielectricDispersion/Dielectric_Loss_Tangent/data,Tan delta,
