Name,Xpath,Simplified,
Temp,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Temperature,
Tan Delta,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
ang. frequency,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Angular Frequency,
loss modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Loss Modulus,
"E""/E""max",properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Normalized Loss Modulus,
temperature/C,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Temperature,
Eta,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Dynamic Viscosity,
time,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Time,
"E""",properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Loss Modulus,
shear storage modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Shear Storage Modulus,
Angular velocity,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Angular Frequency,
Y,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,,
Tan d,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
Loss modulu,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Loss Modulus,
Log E',properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
normalized tan delta,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Normalized Tan Delta,
Temperature ?,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Temperature,
G'',properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Shear Loss Modulus,
Strain,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Strain,
Tangent Delta,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
"G""",properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Sheer Loss Modulus,
Complex viscosity,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Dynamic Viscosity,
Lo,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,,
Freq,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Frequency,
Storage Modulus E',properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
Storage modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
log M',properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,,
Storage Modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
storage modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
Storage modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
Angular Velocity,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Angular Velocity,
Loss factor,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
WAT,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,,
G',properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Shear Storage Modulus,
Temperature,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Temperature,
Shear storage modulus G,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Shear Storage Modulus,
Shear Loss Modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Shear Loss Modulus,
Temperatur,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Temperature,
frequency,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Frequency,
Bending Tan delta,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
shear stress,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Shear Stress,
tan delta,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
Loss modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Loss Modulus,
E',properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
Log Tan delta,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
Relaxation Spectra,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,,
loss tangent,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
temperature,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Temperature,
T/T_alpha,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Normalized Temperature,
Frequecy,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Frequency,
Tan delta,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
Log storage modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
Log-storage modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
Shear Storage Modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Shear Storage Modulus,
Complex Viscosity,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Dynamic Viscosity,
Time,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Time,
strain,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Strain,
tangent delta,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
E,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,,
Loss Modulus,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Loss Modulus,
normalized frequency,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Normalized Frequency,
Damping Coefficient,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
Tan,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
Damping factor,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
"E""",properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Loss Modulus,
Frequency,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Frequency,
Strain (%),properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Strain,
"Storage Modulus, E",properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Storage Modulus,
log time,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Time,
Loss tangent,properties/viscoelastic/dynamicproperties/dynamicpropertyprofile,Tan Delta,
Electric Field,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Electric Field,
Real Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Dielectric permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,author not being specific
Dielectric constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,author not being specific
Relative real permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Relative Dielectric Real Permittivity,
Relative Dieletric Constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Relative Dielectric Real Permittivity,
Real Part of Dielectric Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
K,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,,
Dielectric Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,author not being specific
Tempeature,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Temperature,
Volume Fraction of MWNT,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,,
Relative Dielectric Constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Relative Dielectric Real Permittivity,
e' (PVAc-23% red squares),properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
freq/Hz,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Frequency,
?´,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Dielectric Constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
w(rad/s) (PVAc-23%),properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Angular Frequency,
"Dielectric Constant, Dk",properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
frequency,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Frequency,
Real Relative Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Relative Dielectric Real Permittivity,
,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,,
"Temperature, C",properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Temperature,
AC dielectric Constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
real permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
f,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Frequency,
Real component of permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Dielectric Constant at 1 kHz,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Real permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Real dielectric function,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
"Dielectric constant, Dk",properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
real part of dielectric constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Dielectric Real Permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Dielectric constant epsilon',properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
e',properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Relative permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Relative Dielectric Real Permittivity,
dielectric permittivity,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Temperature,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Temperature,
Frequency,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Frequency,
dielectric constant,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Dielectric Real Permittivity,
Real Susceptibility,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Real Susceptibility,
w,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity,Angular Frequency,
