Simplified,Unit,Path
(dimensionless),(dimensionless),characterization/rheometery
hz,hz,properties/mechanical/tensile/elongationatbreak
ohm*m,ohms-m,
(dimensionless),(dimensionless),properties/mechanical/tensile/conditions/strainrate
c/m^3,c/m^3,
hz,hz,properties/mechanical/fracturetoughness/essentialworkoffracture/strainrate
kv/mm,kv/mm,
pa*s,pa-sec,
hz,hz,properties/electrical/ac_dielectricdispersion/dielectric_real_permittivity
hz,hz,properties/electrical/dielectricbreakdownstrength/weibullplot
hz,hz,properties/rheological/rheologicalcomplexmodulus/rheologicallosstangent
hz,hz,properties/thermal/specificheatcapacity_cp
(dimensionless),(dimensionless),materials/filler/fillercomponent/sphericalparticlediameter
v,v,
hz,hz,processing/solutionprocessing/chooseparameter/mixing/temperature
(dimensionless),(dimensionless),properties/mechanical/tensile/tensilestressatyield
(dimensionless),(dimensionless),properties/rheological/dynamicviscosity
bonds/nm2,bonds/nm2,
(dimensionless),(dimensionless),characterization/xray_diffraction_and_scattering
j/m^3,j/m^3,
(dimensionless),(dimensionless),properties/electrical/ac_dielectricdispersion/dielectric_loss_permittivity
(dimensionless),(dimensionless),characterization/xray_photoelectron_spectroscopy
(dimensionless),(dimensionless),properties/electrical/dc_dielectricconstant
ohm*cm,ohms-cm,
ohm,ohm,
s/cm,s/cm,characterization/fourier_transform_infrared_spectroscopy
w/mk,w/mk,
celsius,cel.,
hz,hz,characterization/differential_scanning_calorimetry/heatingrate
j/cm^3,j/cm^3,
ch/nm^2,chain/nm^2,
s/cm,s/cm,
hz,hz,characterization/fourier_transform_infrared_spectroscopy
hz,hz,properties/electrical/electricconductivity
hz,hz,properties/electrical/surfaceresistivity
ev,ev,
pa*s,pa*s,
j/gk,j/(gk),
hz,hz,properties/electrical/energydensity
hz,hz,
s/m,s.m-1,
k^-1,k^-1,
hz,hz,properties/electrical/ac_dielectricdispersion/dielectric_loss_tangent
j/g,j/g,
(dimensionless),(dimensionless),characterization/differential_scanning_calorimetry
(dimensionless),(dimensionless),properties/rheological/rheologicalcomplexmodulus/rheologicalstoragemodulus
(dimensionless),(dimensionless),properties/mechanical/compression/compressionmodulus
